Geography,sex,date,Labour force 5,Employment 6,Unemployment 7
Canada,Both sexes,2015-04-01,19213.40,17898.60,1314.80
Canada,Both sexes,2015-05-01,19258.90,17941.70,1317.10
Canada,Both sexes,2015-06-01,19269.30,17949.00,1320.30
Canada,Both sexes,2015-07-01,19294.50,17976.30,1318.20
Canada,Both sexes,2015-08-01,19342.00,17990.40,1351.60
Canada,Both sexes,2015-09-01,19354.70,17987.10,1367.70
Canada,Both sexes,2015-10-01,19353.20,18007.10,1346.10
Canada,Both sexes,2015-11-01,19363.60,17986.60,1377.10
Canada,Both sexes,2015-12-01,19380.80,17995.60,1385.20
Canada,Both sexes,2016-01-01,19387.70,17994.30,1393.30
Canada,Both sexes,2016-02-01,19410.10,18000.60,1409.50
Canada,Both sexes,2016-03-01,19398.30,18026.30,1372.00
Canada,Both sexes,2016-04-01,19431.60,18045.50,1386.10
Canada,Both sexes,2016-05-01,19400.40,18052.20,1348.20
Canada,Both sexes,2016-06-01,19375.70,18057.20,1318.50
Canada,Both sexes,2016-07-01,19393.00,18044.50,1348.50
Canada,Both sexes,2016-08-01,19437.50,18088.90,1348.50
Canada,Both sexes,2016-09-01,19502.30,18147.40,1354.90
Canada,Both sexes,2016-10-01,19527.80,18181.40,1346.40
Canada,Both sexes,2016-11-01,19507.10,18164.80,1342.30
Canada,Both sexes,2016-12-01,19548.20,18193.90,1354.30
Canada,Both sexes,2017-01-01,19594.90,18276.40,1318.50
Canada,Both sexes,2017-02-01,19579.70,18289.80,1290.00
Canada,Both sexes,2017-03-01,19610.90,18306.10,1304.80
Canada,Both sexes,2017-04-01,19586.40,18323.10,1263.40
Canada,Both sexes,2017-05-01,19670.80,18372.40,1298.50
Canada,Both sexes,2017-06-01,19676.70,18414.60,1262.10
Canada,Both sexes,2017-07-01,19671.30,18438.80,1232.50
Canada,Both sexes,2017-08-01,19674.50,18474.90,1199.60
Canada,Both sexes,2017-09-01,19678.90,18467.40,1211.60
Canada,Both sexes,2017-10-01,19725.20,18496.80,1228.40
Canada,Both sexes,2017-11-01,19735.80,18560.50,1175.30
Canada,Both sexes,2017-12-01,19776.20,18625.30,1150.90
Canada,Both sexes,2018-01-01,19703.40,18551.40,1152.00
Canada,Both sexes,2018-02-01,19705.90,18559.40,1146.50
Canada,Both sexes,2018-03-01,19747.10,18601.40,1145.60
Canada,Both sexes,2018-04-01,19752.80,18595.20,1157.60
Canada,Both sexes,2018-05-01,19762.50,18590.30,1172.10
Canada,Both sexes,2018-06-01,19829.20,18630.00,1199.30
Canada,Both sexes,2018-07-01,19847.50,18690.50,1157.00
Canada,Both sexes,2018-08-01,19822.50,18640.50,1182.00
Canada,Both sexes,2018-09-01,19863.90,18699.40,1164.50
Canada,Both sexes,2018-10-01,19861.10,18715.40,1145.70
